arch,cache,weighted,seed,params,size_mb,epochs,train_s,checkpoint,acc,sens,spec,auc,acc_lo,acc_hi,sens_lo,sens_hi,spec_lo,spec_hi,auc_lo,auc_hi
compact,faithful,False,0,270778,1.0692014694213867,10,64.0,compact_faithful_s0,99.04761904761905,94.28571428571429,100.0,0.9943265306122449,97.85714285714286,99.76190476190476,87.93103448275862,98.70171495171495,100.0,100.0,0.9864469879974253,0.9998245471581652
compact,faithful,False,1,270778,1.0692014694213867,10,57.3,compact_faithful_s1,99.28571428571429,97.14285714285714,99.71428571428571,0.9991020408163266,98.33333333333333,100.0,92.3076923076923,100.0,99.12010484519763,100.0,0.9971159211320823,1.0
compact,faithful,False,2,270778,1.0692014694213867,10,58.2,compact_faithful_s2,99.04761904761905,95.71428571428571,99.71428571428571,0.9966530612244898,98.0952380952381,99.76190476190476,90.41095890410959,100.0,99.12003938989051,100.0,0.9884883796493609,1.0
compact,faithful,False,3,270778,1.0692014694213867,10,58.5,compact_faithful_s3,99.28571428571429,97.14285714285714,99.71428571428571,0.9976326530612245,98.33333333333333,100.0,92.3076923076923,100.0,99.12023460410558,100.0,0.9926832245967396,1.0
compact,faithful,False,4,270778,1.0692014694213867,10,59.0,compact_faithful_s4,97.38095238095238,94.28571428571429,98.0,0.9913469387755103,95.71428571428571,98.80952380952381,88.33279220779221,98.68463773069037,96.51111791105672,99.39434164655404,0.9808514464818261,0.9986279461152352
compact,simple,False,0,270778,1.0690526962280273,10,59.2,compact_simple_s0,98.33333333333333,98.57142857142857,98.28571428571429,0.9995510204081632,97.14285714285714,99.29166666666667,95.23809523809524,100.0,96.82974213323116,99.43828071056431,0.9983992083155193,1.0
compact,simple,False,1,270778,1.0690526962280273,10,59.2,compact_simple_s1,99.28571428571429,98.57142857142857,99.42857142857143,0.998938775510204,98.33333333333333,100.0,95.23809523809524,100.0,98.53790451201317,100.0,0.9970888315881052,1.0
compact,simple,False,2,270778,1.0690526962280273,10,59.2,compact_simple_s2,99.28571428571429,98.57142857142857,99.42857142857143,0.9997959183673469,98.33333333333333,100.0,95.31063988095238,100.0,98.54640568852126,100.0,0.9992103141734472,1.0
compact,simple,False,3,270778,1.0690526962280273,10,59.3,compact_simple_s3,98.80952380952381,94.28571428571429,99.71428571428571,0.998734693877551,97.61904761904762,99.76190476190476,88.40579710144928,98.71794871794872,99.12790697674419,100.0,0.9968180662766152,0.9999567487138669
compact,simple,False,4,270778,1.0690526962280273,10,59.1,compact_simple_s4,98.0952380952381,91.42857142857143,99.42857142857143,0.9983673469387755,96.66666666666667,99.28571428571429,84.41362854013457,97.33333333333333,98.53790451201317,100.0,0.995664927821222,0.9998329838753683
full,faithful,False,0,4320598,16.58813190460205,10,112.9,full_faithful_s0,87.38095238095238,94.28571428571429,86.0,0.9770612244897959,84.04761904761905,90.47619047619048,88.30977845683728,98.66666666666667,82.10921282414577,89.42857142857143,0.9603440428542195,0.9903092197550958
full,faithful,False,1,4320598,16.58813190460205,10,112.9,full_faithful_s1,94.52380952380952,84.28571428571429,96.57142857142857,0.9689795918367347,92.14285714285714,96.42857142857143,75.94718463553035,92.54272117672507,94.58598244020587,98.35671973343207,0.942822583180377,0.9883716303140166
full,faithful,False,2,4320598,16.58813190460205,10,112.9,full_faithful_s2,88.80952380952381,85.71428571428571,89.42857142857143,0.9567755102040816,85.71428571428571,91.66666666666667,76.47058823529412,93.42159188955996,85.92364832979405,92.55037778005185,0.9285668164630448,0.9810080205211962
full,faithful,False,3,4320598,16.58813190460205,10,112.8,full_faithful_s3,93.0952380952381,90.0,93.71428571428571,0.9796734693877551,90.71428571428571,95.47619047619048,82.34891216760677,96.10514485514486,91.19318181818181,96.14271855740698,0.9641471530586175,0.9917360195486697
full,faithful,False,4,4320598,16.58813190460205,10,112.7,full_faithful_s4,96.9047619047619,87.14285714285714,98.85714285714286,0.9828979591836735,95.23809523809524,98.33333333333333,79.16511194029852,94.44444444444444,97.48568043437324,99.72067039106145,0.9688096716947648,0.9939518522023594
full,simple,False,0,4320598,16.587891578674316,10,112.9,full_simple_s0,90.95238095238095,98.57142857142857,89.42857142857143,0.9939795918367347,87.85714285714286,93.57142857142857,95.23809523809524,100.0,85.79604855691812,92.37647803151424,0.9856791392357792,0.999381001483062
full,simple,False,1,4320598,16.587891578674316,10,112.7,full_simple_s1,98.80952380952381,97.14285714285714,99.14285714285714,0.9994285714285714,97.61904761904762,99.76190476190476,92.85714285714286,100.0,98.00569800569801,100.0,0.9983969361287931,1.0
full,simple,False,2,4320598,16.587891578674316,10,112.9,full_simple_s2,95.47619047619048,100.0,94.57142857142857,0.9980816326530613,93.33333333333333,97.38095238095238,100.0,100.0,92.06571588593879,96.79346769763806,0.9954755836276508,0.9997618913187042
