mode,seed,teacher,pretrained,params,size_mb,train_s,acc,sens,spec,auc,acc_lo,acc_hi,sens_lo,sens_hi,spec_lo,spec_hi,auc_lo,auc_hi
distilled,0,compact_faithful_s0,1,1519906,5.928719520568848,103.4,93.80952380952381,100.0,92.57142857142857,0.9970204081632652,91.42857142857143,95.95238095238095,100.0,100.0,89.7725611376927,95.21229155347515,0.9931542598884645,0.9994907877691336
scratch,0,compact_faithful_s0,1,1519906,5.9282426834106445,91.6,99.04761904761905,95.71428571428571,99.71428571428571,0.998938775510204,97.85714285714286,99.76190476190476,90.32061369000787,100.0,99.12023460410558,100.0,0.9971383828134591,0.9999578192851118
distilled,1,compact_faithful_s1,1,1519906,5.928719520568848,103.2,85.47619047619048,98.57142857142857,82.85714285714286,0.9911836734693877,81.9047619047619,88.80952380952381,95.16129032258064,100.0,78.73547342350925,86.72409883026975,0.9755980376010747,0.9991911761618345
scratch,1,compact_faithful_s1,1,1519906,5.9282426834106445,90.5,91.9047619047619,98.57142857142857,90.57142857142857,0.9964489795918368,89.04761904761905,94.52380952380952,95.16129032258064,100.0,87.28310873208605,93.58600583090379,0.9913455155281004,0.9999122467763583
distilled,2,compact_faithful_s2,1,1519906,5.928719520568848,103.1,96.19047619047619,97.14285714285714,96.0,0.9962857142857143,94.28571428571429,97.85714285714286,92.64431518876206,100.0,93.98255289084273,97.77793167128347,0.9895404294380588,1.0
scratch,2,compact_faithful_s2,1,1519906,5.9282426834106445,89.8,99.04761904761905,95.71428571428571,99.71428571428571,0.9983265306122449,97.85714285714286,99.76190476190476,90.32061369000787,100.0,99.12023460410558,100.0,0.9954258785332315,1.0
distilled,3,compact_faithful_s3,1,1519906,5.928719520568848,103.1,93.57142857142857,95.71428571428571,93.14285714285714,0.9900408163265306,90.95238095238095,95.71428571428571,90.40972107608516,100.0,90.25633462554076,95.62713997559156,0.9734960710173096,0.9987271769662921
scratch,3,compact_faithful_s3,1,1519906,5.9282426834106445,89.7,82.85714285714286,100.0,79.42857142857143,0.9978367346938775,79.27976190476191,86.42857142857143,100.0,100.0,75.0724430048586,83.66211307962388,0.9944795655799367,0.9999587334322042
distilled,4,compact_faithful_s4,1,1519906,5.928719520568848,102.8,98.33333333333333,97.14285714285714,98.57142857142857,0.9968979591836734,97.14285714285714,99.52380952380952,92.3076923076923,100.0,97.24498881329619,99.7134670487106,0.9920637047719089,0.9998900340854965
scratch,4,compact_faithful_s4,1,1519906,5.9282426834106445,89.6,94.04761904761905,98.57142857142857,93.14285714285714,0.9970204081632653,91.42857142857143,96.19047619047619,95.12095161935227,100.0,90.11155070699505,95.64047734736278,0.9926558589357852,1.0
