arch,seed,checkpoint,preproc,cohort,n,acc,sens,spec,auc,acc_lo,acc_hi,sens_lo,sens_hi,spec_lo,spec_hi,auc_lo,auc_hi
compact,0,compact_faithful_s0,faithful,all,800,50.75,0.0,100.0,0.3016178640194044,47.375,53.878125,0.0,0.0,100.0,100.0,0.2658576101671408,0.3403219961119773
compact,0,compact_faithful_s0,faithful,montgomery,138,57.971014492753625,0.0,100.0,0.4702586206896552,50.0,65.94202898550725,0.0,0.0,100.0,100.0,0.36991340233299297,0.5810101749343553
compact,0,compact_faithful_s0,faithful,shenzhen,662,49.244712990936556,0.0,100.0,0.2490779287174993,45.468277945619334,53.17220543806646,0.0,0.0,100.0,100.0,0.2125834076003263,0.288153730700236
compact,1,compact_faithful_s1,faithful,all,800,50.5,0.0,99.50738916256158,0.3345002625590758,47.125,53.628125,0.0,0.0,98.61710869775385,100.0,0.29677153606264195,0.37220858472004265
compact,1,compact_faithful_s1,faithful,montgomery,138,56.52173913043478,0.0,97.5,0.4717672413793103,48.55072463768116,64.4927536231884,0.0,0.0,93.74802215189874,100.0,0.36627871952927993,0.5765335196720955
compact,1,compact_faithful_s1,faithful,shenzhen,662,49.244712990936556,0.0,100.0,0.2955740578439965,45.468277945619334,53.17220543806646,0.0,0.0,100.0,100.0,0.25569869121815014,0.33620604136372256
compact,2,compact_faithful_s2,faithful,all,800,50.625,0.0,99.75369458128078,0.3149396114125678,47.25,53.75,0.0,0.0,99.232687389337,100.0,0.27983586097265356,0.35307142378135115
compact,2,compact_faithful_s2,faithful,montgomery,138,57.971014492753625,0.0,100.0,0.42844827586206896,50.0,65.94202898550725,0.0,0.0,100.0,100.0,0.33332420591456735,0.5171139814840501
compact,2,compact_faithful_s2,faithful,shenzhen,662,49.09365558912387,0.0,99.69325153374233,0.30319712240724506,45.31722054380665,52.8738670694864,0.0,0.0,99.03210096355258,100.0,0.26258154462169286,0.34203858131456405
compact,3,compact_faithful_s3,faithful,all,800,50.875,0.7614213197969543,99.50738916256158,0.31670250806431444,47.375,54.125,0.0,1.7681277056277054,98.73055667923741,100.0,0.28114549148304424,0.3527411347092384
compact,3,compact_faithful_s3,faithful,montgomery,138,57.971014492753625,0.0,100.0,0.44806034482758617,50.0,65.94202898550725,0.0,0.0,100.0,100.0,0.35162663326526866,0.5480835868830292
compact,3,compact_faithful_s3,faithful,shenzhen,662,49.39577039274924,0.8928571428571429,99.38650306748467,0.29863241308793453,45.61933534743203,53.323262839879156,0.0,2.041115566461188,98.44212345823689,100.0,0.2596460338502443,0.33741679332400926
compact,4,compact_faithful_s4,faithful,all,800,47.875,10.152284263959391,84.48275862068965,0.34519016778775224,44.5,51.375,7.454741750495959,13.334645669291337,80.76898734177216,87.90143670118482,0.30766199501828906,0.3836087182558954
compact,4,compact_faithful_s4,faithful,montgomery,138,57.971014492753625,0.0,100.0,0.5103448275862068,50.0,65.94202898550725,0.0,0.0,100.0,100.0,0.4084491642616643,0.6105778539547546
compact,4,compact_faithful_s4,faithful,shenzhen,662,45.770392749244714,11.904761904761905,80.67484662576688,0.3243591148115688,41.99395770392749,49.546827794561935,8.490423098913665,15.318406681087982,76.39526994744385,84.81012658227849,0.2841392927353358,0.36464275569599225
full,0,full_faithful_s0,faithful,all,800,57.25,66.49746192893402,48.275862068965516,0.6012133980145533,53.75,60.875,61.94220825008814,70.95276497695852,43.23520156795051,53.33373205741627,0.5628246664312433,0.6405261890402729
full,0,full_faithful_s0,faithful,montgomery,138,60.869565217391305,22.413793103448278,88.75,0.5928879310344828,52.89855072463768,68.13405797101447,12.121212121212121,34.37628073770492,80.82191780821918,95.00154320987654,0.4932924800858877,0.6940104606388523
full,0,full_faithful_s0,faithful,shenzhen,662,56.49546827794562,74.10714285714286,38.34355828220859,0.5937271764534034,52.87009063444109,60.124622356495465,69.34087527109817,78.69869925992376,33.04093567251462,43.586287313432834,0.5493525061733472,0.6345570245836203
full,1,full_faithful_s1,faithful,all,800,54.75,95.17766497461929,15.517241379310345,0.6160136030606886,51.25,58.25,93.07647814910025,97.04469718922051,11.969417790418568,19.168388771078256,0.5777555904188412,0.6560014418781912
full,1,full_faithful_s1,faithful,montgomery,138,55.79710144927536,84.48275862068965,35.0,0.6071120689655173,47.10144927536232,63.768115942028984,74.60250201775627,93.22033898305085,23.942085347908343,45.3514799154334,0.5052642696783322,0.6978192829137976
full,1,full_faithful_s1,faithful,shenzhen,662,54.531722054380666,97.02380952380952,10.736196319018404,0.6076723634238972,50.60422960725076,58.157099697885194,94.98456904885849,98.76562144967053,7.620676886973917,14.329316840142925,0.5660976156680873,0.6472716587224694
full,2,full_faithful_s2,faithful,all,800,49.25,28.934010152284262,68.96551724137932,0.5048760971218524,45.625,52.625,24.577311886066695,33.246201966041106,64.19175845552358,73.38395050066126,0.4652080958482236,0.5429263636850918
full,2,full_faithful_s2,faithful,montgomery,138,60.14492753623188,31.03448275862069,81.25,0.6112068965517242,52.17391304347826,68.1159420289855,19.29824561403509,42.863300492610826,72.59801606046291,89.33484848484848,0.5146867884040639,0.703663624779052
full,2,full_faithful_s2,faithful,shenzhen,662,46.97885196374622,28.571428571428573,65.95092024539878,0.487036225533158,43.202416918429,50.755287009063444,24.011269308021827,33.444749796874255,60.75613132911392,70.84918720552625,0.4436121834718012,0.5277779013755508
full,3,full_faithful_s3,faithful,all,800,52.0,81.97969543147208,22.9064039408867,0.5130373083943887,48.5,55.25,78.00511508951406,85.35995279307632,18.462139835869998,26.956794038370063,0.4720473646207693,0.5547433552743154
