arch,checkpoint,params,macs_dense_M,macs_effective_M,saving_pct
compact,(untrained dense),270778,113.23,113.23,0.0
full,(untrained dense),4320598,497.62,497.62,0.0
compact,compact_faithful_s0,270778,113.23,113.23,0.0
compact,compact_faithful_s1,270778,113.23,113.23,0.0
compact,compact_faithful_s2,270778,113.23,113.23,0.0
compact,compact_faithful_s3,270778,113.23,113.23,0.0
compact,compact_faithful_s4,270778,113.23,113.23,0.0
compact,compact_faithful_w_s0,270778,113.23,113.23,0.0
compact,compact_faithful_w_s1,270778,113.23,113.23,0.0
compact,compact_faithful_w_s2,270778,113.23,113.23,0.0
compact,compact_faithful_w_s3,270778,113.23,113.23,0.0
compact,compact_faithful_w_s4,270778,113.23,113.23,0.0
compact,compact_phoneft_s0,270778,113.23,113.23,0.0
compact,compact_phoneft_s1,270778,113.23,113.23,0.0
compact,compact_phoneft_s2,270778,113.23,113.23,0.0
compact,compact_phoneft_s3,270778,113.23,113.23,0.0
compact,compact_phoneft_s4,270778,113.23,113.23,0.0
compact,compact_pruneiter_s0,270778,113.23,113.22,0.01
compact,compact_pruneiter_s1,270778,113.23,113.22,0.01
compact,compact_pruneiter_s2,270778,113.23,113.22,0.01
compact,compact_pruneiter_s3,270778,113.23,113.23,0.01
compact,compact_pruneiter_s4,270778,113.23,113.22,0.01
compact,compact_simple_s0,270778,113.23,113.23,0.0
compact,compact_simple_s1,270778,113.23,113.23,0.0
compact,compact_simple_s2,270778,113.23,113.23,0.0
compact,compact_simple_s3,270778,113.23,113.23,0.0
compact,compact_simple_s4,270778,113.23,113.23,0.0
compact,compact_structured25_s0,270778,113.23,86.64,23.49
compact,compact_structured25_s1,270778,113.23,86.64,23.49
compact,compact_structured25_s2,270778,113.23,86.64,23.49
compact,compact_structured25_s3,270778,113.23,86.64,23.49
compact,compact_structured25_s4,270778,113.23,86.64,23.49
compact,compact_structured50_s0,270778,113.23,60.05,46.97
compact,compact_structured50_s1,270778,113.23,60.05,46.97
compact,compact_structured50_s2,270778,113.23,60.05,46.97
compact,compact_structured50_s3,270778,113.23,60.05,46.97
compact,compact_structured50_s4,270778,113.23,60.05,46.97
compact,compact_structured75_s0,270778,113.23,33.46,70.46
compact,compact_structured75_s1,270778,113.23,33.46,70.46
compact,compact_structured75_s2,270778,113.23,33.46,70.46
compact,compact_structured75_s3,270778,113.23,33.46,70.46
compact,compact_structured75_s4,270778,113.23,33.46,70.46
compact,compact_unstructured25_s0,270778,113.23,113.23,0.0
compact,compact_unstructured25_s1,270778,113.23,113.23,0.0
compact,compact_unstructured25_s2,270778,113.23,113.23,0.0
compact,compact_unstructured25_s3,270778,113.23,113.23,0.0
compact,compact_unstructured25_s4,270778,113.23,113.23,0.0
compact,compact_unstructured50_s0,270778,113.23,113.23,0.0
compact,compact_unstructured50_s1,270778,113.23,113.23,0.0
compact,compact_unstructured50_s2,270778,113.23,113.23,0.0
compact,compact_unstructured50_s3,270778,113.23,113.23,0.0
compact,compact_unstructured50_s4,270778,113.23,113.23,0.0
compact,compact_unstructured75_s0,270778,113.23,113.22,0.02
compact,compact_unstructured75_s1,270778,113.23,113.22,0.01
compact,compact_unstructured75_s2,270778,113.23,113.22,0.01
compact,compact_unstructured75_s3,270778,113.23,113.22,0.01
compact,compact_unstructured75_s4,270778,113.23,113.22,0.01
full,full_faithful_s0,4320598,497.62,497.62,0.0
full,full_faithful_s1,4320598,497.62,497.62,0.0
full,full_faithful_s2,4320598,497.62,497.62,0.0
full,full_faithful_s3,4320598,497.62,497.62,0.0
full,full_faithful_s4,4320598,497.62,497.62,0.0
full,full_phoneft_s0,4320598,497.62,497.62,0.0
full,full_phoneft_s1,4320598,497.62,497.62,0.0
full,full_phoneft_s2,4320598,497.62,497.62,0.0
full,full_phoneft_s3,4320598,497.62,497.62,0.0
full,full_phoneft_s4,4320598,497.62,497.62,0.0
full,full_pruneiter_s0,4320598,497.62,497.42,0.04
full,full_pruneiter_s1,4320598,497.62,497.41,0.04
full,full_pruneiter_s2,4320598,497.62,497.41,0.04
full,full_pruneiter_s3,4320598,497.62,497.4,0.04
full,full_pruneiter_s4,4320598,497.62,497.41,0.04
full,full_simple_s0,4320598,497.62,497.62,0.0
full,full_simple_s1,4320598,497.62,497.62,0.0
full,full_simple_s2,4320598,497.62,497.62,0.0
full,full_simple_s3,4320598,497.62,497.62,0.0
full,full_simple_s4,4320598,497.62,497.62,0.0
full,full_structured25_s0,4320598,497.62,376.45,24.35
full,full_structured25_s1,4320598,497.62,376.45,24.35
full,full_structured25_s2,4320598,497.62,376.45,24.35
full,full_structured25_s3,4320598,497.62,376.45,24.35
full,full_structured25_s4,4320598,497.62,376.45,24.35
full,full_structured50_s0,4320598,497.62,255.27,48.7
full,full_structured50_s1,4320598,497.62,255.27,48.7
full,full_structured50_s2,4320598,497.62,255.27,48.7
full,full_structured50_s3,4320598,497.62,255.27,48.7
full,full_structured50_s4,4320598,497.62,255.27,48.7
full,full_structured75_s0,4320598,497.62,134.1,73.05
full,full_structured75_s1,4320598,497.62,134.1,73.05
full,full_structured75_s2,4320598,497.62,134.1,73.05
full,full_structured75_s3,4320598,497.62,134.1,73.05
full,full_structured75_s4,4320598,497.62,134.1,73.05
full,full_unstructured25_s0,4320598,497.62,497.62,0.0
full,full_unstructured25_s1,4320598,497.62,497.62,0.0
full,full_unstructured25_s2,4320598,497.62,497.62,0.0
full,full_unstructured25_s3,4320598,497.62,497.62,0.0
full,full_unstructured25_s4,4320598,497.62,497.62,0.0
full,full_unstructured50_s0,4320598,497.62,497.62,0.0
full,full_unstructured50_s1,4320598,497.62,497.62,0.0
full,full_unstructured50_s2,4320598,497.62,497.62,0.0
full,full_unstructured50_s3,4320598,497.62,497.62,0.0
full,full_unstructured50_s4,4320598,497.62,497.62,0.0
full,full_unstructured75_s0,4320598,497.62,497.36,0.05
full,full_unstructured75_s1,4320598,497.62,497.39,0.05
full,full_unstructured75_s2,4320598,497.62,497.28,0.07
full,full_unstructured75_s3,4320598,497.62,497.28,0.07
full,full_unstructured75_s4,4320598,497.62,497.4,0.05
