arch,seed,checkpoint,training,condition,acc,sens,spec,auc,acc_lo,acc_hi,sens_lo,sens_hi,spec_lo,spec_hi,auc_lo,auc_hi
compact,0,compact_faithful_s0,clean,clean,99.04761904761905,94.28571428571429,100.0,0.9943265306122449,97.85714285714286,99.76190476190476,87.93103448275862,98.70171495171495,100.0,100.0,0.9864469879974253,0.9998245471581652
compact,0,compact_faithful_s0,clean,phone_all,43.80952380952381,64.28571428571429,39.714285714285715,0.5026938775510205,39.285714285714285,48.80952380952381,51.91911764705882,75.0,34.61510263929618,45.25246467302004,0.42377873744663797,0.5819908132780571
compact,0,compact_faithful_s0,clean,only_brightness,79.28571428571429,88.57142857142857,77.42857142857143,0.901673469387755,75.47619047619048,83.0952380952381,80.81749889527177,95.65217391304348,73.23754674942309,81.68189316076639,0.8684434719413548,0.9332881378686385
compact,0,compact_faithful_s0,clean,only_blur,20.476190476190474,100.0,4.571428571428571,0.9091020408163265,16.666666666666668,24.523809523809526,100.0,100.0,2.5710633116883117,6.761040821198376,0.8594870552387621,0.9506609042200471
compact,0,compact_faithful_s0,clean,only_moire,61.904761904761905,48.57142857142857,64.57142857142857,0.5643469387755102,56.904761904761905,66.19047619047619,36.507400257400256,60.349364791288565,59.482176141658904,69.45526876331287,0.4855409378228406,0.6425727218499153
compact,0,compact_faithful_s0,clean,only_rotation,56.42857142857143,100.0,47.714285714285715,0.973265306122449,51.666666666666664,61.19047619047619,100.0,100.0,42.570523138832996,53.055697278911566,0.9491186905215074,0.9911163831135539
compact,0,compact_faithful_s0,clean,only_glare,85.47619047619048,98.57142857142857,82.85714285714286,0.9846530612244898,81.9047619047619,88.80952380952381,95.16129032258064,100.0,78.57091097308488,86.76954022988507,0.9676215389337203,0.9956721785438039
compact,0,compact_phoneft_s0,phone_augmented,clean,88.80952380952381,35.714285714285715,99.42857142857143,0.8629795918367347,85.47619047619048,91.9047619047619,24.991438356164384,46.97192513368984,98.52941176470588,100.0,0.8129974694352443,0.9055095823051442
compact,0,compact_phoneft_s0,phone_augmented,phone_all,86.19047619047619,25.714285714285715,98.28571428571429,0.8175510204081633,83.08928571428572,89.52380952380952,16.0,36.25284090909091,96.8009064951149,99.43506803533063,0.758981570235985,0.8724701498828134
compact,1,compact_faithful_s1,clean,clean,99.28571428571429,97.14285714285714,99.71428571428571,0.9991020408163266,98.33333333333333,100.0,92.3076923076923,100.0,99.12010484519763,100.0,0.9971159211320823,1.0
compact,1,compact_faithful_s1,clean,phone_all,41.42857142857143,61.42857142857143,37.42857142857143,0.5101020408163266,36.666666666666664,45.95238095238095,48.64771021021021,73.01739926739926,32.35732143895409,42.492917847025495,0.4335809152109524,0.5830418830515298
compact,1,compact_faithful_s1,clean,only_brightness,80.0,97.14285714285714,76.57142857142857,0.9438367346938776,76.19047619047619,83.57142857142857,92.85455486542443,100.0,72.11185345692388,80.72651415639292,0.9191444380019935,0.9664628969725243
compact,1,compact_faithful_s1,clean,only_blur,17.38095238095238,100.0,0.8571428571428571,0.8858775510204081,13.80952380952381,21.19047619047619,100.0,100.0,0.0,2.046783625730994,0.8356801412913966,0.9339048331736909
compact,1,compact_faithful_s1,clean,only_moire,56.904761904761905,57.142857142857146,56.857142857142854,0.6176938775510205,51.904761904761905,61.666666666666664,45.896073669297714,68.6571659773422,51.96353524954007,61.93251408173958,0.5403684216456262,0.6915143565931988
compact,1,compact_faithful_s1,clean,only_rotation,31.904761904761905,100.0,18.285714285714285,0.9904489795918368,27.38095238095238,36.666666666666664,100.0,100.0,14.483752475794423,22.802318295739347,0.9815753963483045,0.9967888584211286
compact,1,compact_faithful_s1,clean,only_glare,85.47619047619048,98.57142857142857,82.85714285714286,0.992,82.13690476190476,88.80952380952381,95.16129032258064,100.0,78.90061932287365,86.76108952565971,0.9786823728749385,0.9991380122060475
compact,1,compact_phoneft_s1,phone_augmented,clean,87.38095238095238,25.714285714285715,99.71428571428571,0.8800816326530613,83.80952380952381,90.71428571428571,15.789473684210526,35.82280903176425,99.12023460410558,100.0,0.8297280621614667,0.9207396622267527
compact,1,compact_phoneft_s1,phone_augmented,phone_all,87.14285714285714,32.857142857142854,98.0,0.8322857142857143,84.04761904761905,90.47619047619048,21.86866554054054,44.071870925684486,96.40758236996456,99.17366693082758,0.7757406515320101,0.8861161056322259
compact,2,compact_faithful_s2,clean,clean,99.04761904761905,95.71428571428571,99.71428571428571,0.9966530612244898,98.0952380952381,99.76190476190476,90.41095890410959,100.0,99.12003938989051,100.0,0.9884883796493609,1.0
compact,2,compact_faithful_s2,clean,phone_all,52.142857142857146,44.285714285714285,53.714285714285715,0.5209183673469389,47.61904761904762,56.904761904761905,32.35056925996205,56.062599681020735,48.44192634560906,59.18556311413454,0.44669055773488525,0.5889122335161731
compact,2,compact_faithful_s2,clean,only_brightness,86.42857142857143,97.14285714285714,84.28571428571429,0.9627755102040817,82.85714285714286,89.52380952380952,92.53731343283582,100.0,80.28561368209256,87.92159046881055,0.9379809612356115,0.9810959144249957
compact,2,compact_faithful_s2,clean,only_blur,18.333333333333332,100.0,2.0,0.8864897959183673,14.523809523809524,22.14880952380952,100.0,100.0,0.5951500422654269,3.5626304405570512,0.8302321303535138,0.9356344603778244
