,,,acc,acc,acc,sens,sens,sens,spec,spec,spec,auc,auc,auc
,,,mean,std,count,mean,std,count,mean,std,count,mean,std,count
arch,training,condition,,,,,,,,,,,,
compact,clean,clean,98.8095,0.8074,5,95.7143,1.4286,5,99.4286,0.8081,5,0.9958,0.003,5
compact,clean,only_blur,20.1905,2.6588,5,100.0,0.0,5,4.2286,3.1905,5,0.8903,0.0299,5
compact,clean,only_brightness,79.1905,6.2101,5,90.5714,8.3054,5,76.9143,5.9604,5,0.9063,0.068,5
compact,clean,only_glare,80.7619,12.5361,5,98.5714,0.0,5,77.2,15.0433,5,0.9786,0.0194,5
compact,clean,only_moire,63.0952,6.7344,5,44.5714,12.5519,5,66.8,10.5258,5,0.5885,0.0276,5
compact,clean,only_rotation,52.4762,14.2386,5,99.4286,1.2778,5,43.0857,17.2773,5,0.9825,0.0081,5
compact,clean,phone_all,46.4762,5.1381,5,57.1429,7.6931,5,44.3429,7.2854,5,0.5166,0.0276,5
compact,phone_augmented,clean,88.7619,1.1218,5,38.0,8.3666,5,98.9143,0.6515,5,0.8706,0.0279,5
compact,phone_augmented,phone_all,86.1429,0.6818,5,32.0,6.7461,5,96.9714,1.8692,5,0.8264,0.0159,5
full,clean,clean,92.1429,3.9698,5,88.2857,3.9641,5,92.9143,5.2271,5,0.9731,0.0105,5
full,clean,only_blur,72.3333,9.6103,5,94.0,3.6978,5,68.0,11.983,5,0.9409,0.0163,5
full,clean,only_brightness,65.0,3.603,5,77.1429,4.8445,5,62.5714,4.8445,5,0.7697,0.041,5
full,clean,only_glare,44.0476,2.8472,5,99.4286,0.7825,5,32.9714,3.5318,5,0.9208,0.018,5
full,clean,only_moire,70.1905,12.093,5,86.0,7.0999,5,67.0286,15.7086,5,0.8648,0.0191,5
full,clean,only_rotation,85.9524,6.0045,5,91.7143,3.4107,5,84.8,7.3607,5,0.9605,0.0178,5
full,clean,phone_all,40.619,3.4405,5,88.5714,4.0406,5,31.0286,4.809,5,0.696,0.0218,5
full,phone_augmented,clean,91.0476,1.4926,5,62.0,5.5879,5,96.8571,1.5779,5,0.9282,0.0163,5
full,phone_augmented,phone_all,85.1905,3.6824,5,70.8571,4.1157,5,88.0571,4.6043,5,0.886,0.0231,5
