,,,,acc,acc,acc,sens,sens,sens,spec,spec,spec,auc,auc,auc,size_mb,size_mb,size_mb,actual_sparsity,actual_sparsity,actual_sparsity,channel_sparsity,channel_sparsity,channel_sparsity
,,,,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count
arch,schedule,kind,target_sparsity,,,,,,,,,,,,,,,,,,,,,
compact,iterative,unstructured,0.7521241088917505,99.0952,0.1065,5,94.8571,0.7825,5,99.9429,0.1278,5,0.9985,0.0003,5,1.0693,0.0,5,75.2126,0.0,5,0.0,0.0,5
compact,one-shot,structured,0.25,96.1905,5.4943,5,95.1429,3.2888,5,96.4,6.9564,5,0.9946,0.004,5,1.0696,0.0,5,16.3418,0.0,5,16.8478,0.0,5
compact,one-shot,structured,0.5,95.7619,2.1783,5,86.2857,8.841,5,97.6571,2.0741,5,0.9791,0.0235,5,1.0696,0.0,5,32.6835,0.0,5,33.6957,0.0,5
compact,one-shot,structured,0.75,67.9524,37.9225,5,86.5714,12.6813,5,64.2286,47.667,5,0.9119,0.0901,5,1.0696,0.0,5,49.0253,0.0,5,50.5435,0.0,5
compact,one-shot,unstructured,0.25,99.1905,0.2715,5,96.0,0.6389,5,99.8286,0.2556,5,0.9979,0.0013,5,1.0697,0.0,5,25.0,0.0,5,0.0,0.0,5
compact,one-shot,unstructured,0.5,98.8095,0.4762,5,93.7143,3.5857,5,99.8286,0.2556,5,0.9978,0.0011,5,1.0697,0.0,5,50.0,0.0,5,0.0,0.0,5
compact,one-shot,unstructured,0.75,84.5238,2.662,5,7.1429,15.9719,5,100.0,0.0,5,0.9901,0.0073,5,1.0697,0.0,5,75.0,0.0,5,0.0,0.0,5
full,iterative,unstructured,0.7521241088917505,96.7619,0.9613,5,84.8571,7.1856,5,99.1429,0.6389,5,0.9816,0.0098,5,16.5883,0.0,5,75.2124,0.0,5,0.0,0.0,5
full,one-shot,structured,0.25,90.9048,10.1817,5,87.1429,6.3084,5,91.6571,13.2717,5,0.9679,0.0081,5,16.5886,0.0,5,18.604,0.0,5,15.1316,0.0,5
full,one-shot,structured,0.5,92.5238,3.0426,5,85.4286,5.6605,5,93.9429,4.2829,5,0.959,0.014,5,16.5886,0.0,5,37.2079,0.0,5,30.2632,0.0,5
full,one-shot,structured,0.75,90.9048,5.5108,5,88.8571,5.091,5,91.3143,7.0987,5,0.9638,0.0101,5,16.5886,0.0,5,55.8119,0.0,5,45.3947,0.0,5
full,one-shot,unstructured,0.25,90.3333,5.681,5,91.1429,1.8626,5,90.1714,6.5328,5,0.974,0.0108,5,16.5889,0.0,5,25.0,0.0,5,0.0,0.0,5
full,one-shot,unstructured,0.5,94.0952,3.4643,5,89.1429,5.4022,5,95.0857,4.6132,5,0.9799,0.0091,5,16.5889,0.0,5,50.0,0.0,5,0.0,0.0,5
full,one-shot,unstructured,0.75,83.3333,0.0,5,0.0,0.0,5,100.0,0.0,5,0.8627,0.2035,5,16.5889,0.0,5,75.0,0.0,5,0.0,0.0,5
