,,,acc,acc,acc,sens,sens,sens,spec,spec,spec,auc,auc,auc,size_mb,size_mb,size_mb
,,,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count
arch,base,quant,,,,,,,,,,,,,,,
compact,fp32,fp16,98.8571,0.7023,5,95.7143,1.4286,5,99.4857,0.6821,5,0.9958,0.0031,5,0.5472,0.0,5
compact,fp32,int8_dynamic,98.8571,0.7023,5,95.7143,1.4286,5,99.4857,0.6821,5,0.9958,0.003,5,0.8226,0.0,5
compact,pruned25,fp16,99.1905,0.2715,5,96.0,0.6389,5,99.8286,0.2556,5,0.9979,0.0013,5,0.5475,0.0,5
compact,pruned25,int8_dynamic,99.1905,0.2715,5,96.0,0.6389,5,99.8286,0.2556,5,0.9979,0.0013,5,0.8231,0.0,5
full,fp32,fp16,92.1429,3.9698,5,88.2857,3.9641,5,92.9143,5.2271,5,0.9731,0.0105,5,8.3143,0.0,5
full,fp32,int8_dynamic,92.1429,3.9698,5,88.2857,3.9641,5,92.9143,5.2271,5,0.9731,0.0105,5,13.5323,0.0,5
full,pruned25,fp16,90.3333,5.681,5,91.1429,1.8626,5,90.1714,6.5297,5,0.974,0.0108,5,8.3148,0.0,5
full,pruned25,int8_dynamic,90.3333,5.681,5,91.1429,1.8626,5,90.1714,6.5328,5,0.974,0.0108,5,13.5329,0.0,5
